Link,Channel,Trial,Timestamp,Outcome,Phase,ColumnOfFailure,Gender,Footwear,PeakHeight,Surface,Injury,dH_failure,Max_dH,Notes
QNRkGE7VuwU,THE BEST THINGS,1,0:36,F,10,10,F,Socks,10,Concrete,No,3,3,"dH = +3 at cols 5, 6; dH = -3 at cols 7; dH = -2 at col 8"
Z0N-U-zcBXU,NFT Crumbs,1,0:00,S,,,M,Sneakers,8,Turf,No,,2,dH = +2 at col 3; dH = -2 at col 10
AeQpkdbpa5k,iamrodyy,1,0:00,S,,,M,Sneakers,6,Concrete,No,,2,dH = -2 at col 9
,,1,0:57,F,7,7,F,Sneakers,6,Concrete,No,-1,2,dH = -2 at col 9
iFcgOAWP3J0,German in Venice,1,2:03,F,4,4,M,Sneakers,7,Grass,No,1,2,"dH = +2 at cols 2, 5; dH = -2 at cols 6, 9"
,,1,3:37,F,6,6,M,Sneakers,8,Grass,No,-2,2,"dH = +2 at cols 3, 4, 5; dH = -2 at cols 6, 7, 8"
,,1,4:43,F,8,5,M,Sneakers,8,Grass,No,2,2,"dH = +2 at cols 3, 4, 5; dH = -2 at cols 6, 7, 8"
,,1,7:06,F,4,4,F,Sneakers,8,Grass,No,2,2,"dH = +2 at cols 3, 4, 5; dH = -2 at cols 6, 7, 8"
,,1,7:33,F,6,6,M,Sneakers,8,Grass,No,-2,2,"dH = +2 at cols 3, 4, 5; dH = -2 at cols 6, 7, 8"
,,1,8:33,S,,,M,Sneakers,8,Grass,No,,3,"dH = +2 at cols 2, 4, 5; dH = -2 at cols 6, 7; dH = -3 at col 8"
,,1,10:20,F,4,4,M,Sneakers,8,Grass,No,2,2,"dH = +2 at cols 3, 4, 5; dH = -2 at cols 6, 7, 8"
0QLLlmsp0aA,How2DoIt,1,0:09,F,9,9,M,Sneakers,8,Grass,Yes,-1,1,Landed back of head; possible concussion
,,1,2:26,F,9,9,M,Sneakers,7,Grass,No,-1,1,
